,gene_name,AUROC,avg_diff,cluster_revised
0,Ndrg4,0.9323602416888934,1.0750204,1
1,Snap25,0.9310708249697308,1.1351595,1
2,Plcb4,0.918880797039626,1.1133716,1
3,Pvalb,0.9186771837052992,1.5573575,1
4,Slc24a2,0.9147260098334352,1.1607918,1
5,Cpne9,0.9139210987712022,1.0468756,1
6,Scn1a,0.9112192371835418,1.0824401,1
7,Scn1b,0.9098452302118212,1.0500633,1
8,Kcna2,0.9030883049124061,0.96274346,1
9,Nefl,0.8974001144212859,1.0258858,1
10,Cadps,0.8968704240759071,0.8926989,1
11,Reps2,0.8954758272937452,0.92602986,1
12,Dgkb,0.8948820021080095,1.0760738,1
13,Rgs7bp,0.89323876858096,0.9708605,1
14,Atp1b1,0.8878765475822993,0.8997154,1
15,Cadm2,0.8866052746256017,0.936816,1
16,Hcn1,0.8838810222910771,0.8943615,1
17,Nefm,0.8838337409900764,1.085654,1
18,2900097C17Rik,0.8802039133111996,0.8179357,1
19,Onecut2,0.8784639399306527,1.0215586,1
20,Cnih3,0.8758402981189515,0.8898095,1
21,Lgi2,0.8743264632178358,0.8925254,1
22,Tmem196,0.8683284310231135,0.83813107,1
23,Slc17a6,0.8675273637505581,0.90092564,1
24,Thy1,0.8638118975128475,1.0014758,1
25,Atp1a3,0.8615262135166567,0.7869663,1
26,Dnm1,0.8571919509001295,0.76862705,1
27,AI593442,0.8549308617819464,0.7845844,1
28,Got1,0.8516489642680236,0.84575987,1
29,Ina,0.8479255147748286,0.7503897,1
30,Syp,0.8466631658612986,0.7818315,1
31,Nrp2,0.8454440931812032,0.77885985,1
32,Pcdh20,0.8430528259272915,0.75556165,1
33,Syt1,0.8421833768299799,0.83067405,1
34,Vsnl1,0.8412647379766528,0.84833956,1
35,Nat8l,0.8409420209216129,0.81604946,1
36,Nrn1,0.8400998277874707,0.79683185,1
37,Tmem145,0.8364859128602667,0.75565076,1
38,Lynx1,0.835258131174188,0.8203499,1
39,Sncb,0.8329949454434534,0.7561712,1
40,Vamp1,0.8262145810908987,0.75043225,1
41,Rprm,0.825751552272798,0.9768075,1
42,Cartpt,0.8207378259117012,0.7925073,1
43,Chgb,0.819448274794298,0.7732526,1
44,Serpini1,0.8140017592192085,0.9924482,1
45,Pcsk2,0.7952698700541043,0.7615201,1
46,Ctxn3,0.7461995940743062,0.755875,1
47,Itm2a,0.49458256820415025,0.8025242,1
48,C1qb,0.490006818829129,0.88158864,1
49,Vtn,0.488391217580322,1.1390017,1
50,C1qa,0.48562745216309666,0.9215524,1
51,Glul,0.48372098624224347,0.7780358,1
52,Ly6c1,0.4834388036965322,0.76385003,1
53,Cldn5,0.4833978659924821,1.2094872,1
54,Sst,0.4803835284957063,0.87040937,1
55,Rgs5,0.4786806221498837,0.8858324,1
56,Klf2,0.46465603135758243,0.78686655,1
57,Car2,0.4590104182290462,1.1472899,1
58,Tac1,0.45214530234604483,0.9407446,1
59,Cldn11,0.45064826722498924,1.4581141,1
60,Slc4a4,0.44619344938675165,0.9367874,1
61,Agt,0.4445777674990003,1.0996392,1
62,Mog,0.44376758802574034,1.0782818,1
63,S100a6,0.44286975402003953,0.870899,1
64,Aqp4,0.4408170896931925,0.7805078,1
65,Ptprz1,0.4405120325669516,0.81398034,1
66,Mal,0.44015964038041366,1.8675237,1
67,Mag,0.4369317709591637,1.1407771,1
