,gene_name,AUROC,avg_diff,cluster_final
0,Cspg5,0.9876367676660311,2.0082188,1
1,C1ql1,0.9819946654797413,1.8719875,1
2,Pdgfra,0.9809058387420363,1.8616018,1
3,Rpl13,0.963110264467312,1.1089072,1
4,Olig2,0.9597067674667341,1.3956115,1
5,Olig1,0.9578636010336878,1.3982366,1
6,Ptprz1,0.9551104770509338,1.4998242,1
7,Pcdh15,0.9485266958526265,1.3534584,1
8,Lhfpl3,0.936626165057896,1.3092529,1
9,Cntn1,0.9328611098193704,1.2336984,1
10,Opcml,0.9325033714433765,1.2270634,1
11,Epn2,0.9303371775538268,1.1222379,1
12,Cacng4,0.9202549010489672,1.2206123,1
13,Fabp7,0.9123687130054673,1.3432131,1
14,Gpr17,0.9120989975353585,1.1424639,1
15,Rtn1,0.9105225571152404,1.1306965,1
16,Scrg1,0.9055972603285746,1.1310663,1
17,Matn4,0.901820911585143,1.1442684,1
18,Ncald,0.8949750546406339,1.0529029,1
19,Meg3,0.8904465252542699,1.0148124,1
20,Tnr,0.8903136604906694,1.0060089,1
21,3110035E14Rik,0.8872336891894584,1.0114956,1
22,Tmem100,0.8830927927508986,0.9925316,1
23,Ccnd1,0.8817340844621304,1.1506305,1
24,Traf4,0.8802548014003947,1.0351609,1
25,Olfm2,0.8780299809339065,1.0287337,1
26,Rgcc,0.8776107926047473,0.98202574,1
27,Gria2,0.8733179320928194,0.94810855,1
28,Brinp3,0.864561147685828,0.9564127,1
29,Vcan,0.8641808223000218,1.0757254,1
30,Cspg4,0.8640894777750467,0.96982086,1
31,Pcsk1n,0.86382241960021,0.77125454,1
32,Marcks,0.8607235150701857,0.8835752,1
33,Nxph1,0.8603881976230494,0.96400315,1
34,Kcnip3,0.8558560144556864,0.9278345,1
35,Serpine2,0.8526582917577344,0.8670808,1
36,Sulf2,0.8519426489247919,0.88405836,1
37,Xylt1,0.8473181247467264,0.88393444,1
38,Phlda1,0.8455880594436953,0.9887708,1
39,Arhgap31,0.8417268433325139,0.9143897,1
40,Neu4,0.8359646646161205,0.922776,1
41,Tsc22d1,0.8282480452271654,0.7136539,1
42,Lrp1b,0.823589308372473,0.7820913,1
43,Sox10,0.8212990520099117,0.782982,1
44,Ppp1r14b,0.8209262002670581,1.0144649,1
45,Nrxn1,0.819651196779358,0.7700878,1
46,Nrxn2,0.8190516445336115,0.71696156,1
47,Sdc3,0.8185847909705107,0.7532554,1
48,Lrp1,0.8181709172318954,0.71708953,1
49,Sox6,0.8149979405961641,0.7569382,1
50,Tpm1,0.8143268074590279,0.7504642,1
51,Cdo1,0.8123228746620252,0.8049952,1
52,Tmem121,0.8095297251692366,0.7417104,1
53,Nav1,0.8054002883165372,0.7787311,1
54,Pcdh11x,0.7970974031581954,0.75365263,1
55,Pid1,0.7969929382378146,0.724432,1
56,Qpct,0.7961193524171422,0.8271592,1
57,Mmp16,0.795120375475822,0.75466746,1
58,Fxyd6,0.7890021191929795,0.70180154,1
59,Pou3f1,0.7697505131901495,0.82498276,1
60,S100a16,0.76726843332514,0.74046516,1
61,Hes5,0.7583767911830943,0.74195063,1
62,Sox8,0.7582997296202061,0.74972844,1
63,Bsg,0.6044647542998359,0.97244,1
64,Atp1a2,0.5225542918640261,0.74928856,1
65,Apoe,0.48870118050342454,0.81217766,1
66,Cryab,0.48296341568734263,0.83692336,1
67,Hexb,0.4727921197908709,0.7977461,1
68,Plpp3,0.47041201363192475,0.70065874,1
69,C1qc,0.46811478186927435,0.8616338,1
